study_id;author;year;group;cutpoint;tpos;fneg;fpos;tneg
1;Arora;2006;;6;133;5;34;0
1;Arora;2006;;7;131;7;33;1
1;Arora;2006;;8;130;8;31;3
1;Arora;2006;;9;127;11;30;4
1;Arora;2006;;10;119;19;28;6
1;Arora;2006;;11;115;23;26;8
1;Arora;2006;;12;113;25;25;9
1;Arora;2006;;13;110;28;21;13
1;Arora;2006;;14;102;36;19;15
1;Arora;2006;;15;98;40;19;15
1;Arora;2006;;16;92;46;17;17
1;Arora;2006;;17;87;51;14;20
1;Arora;2006;;18;83;55;14;20
1;Arora;2006;;19;78;60;13;21
1;Arora;2006;;20;73;65;11;23
1;Arora;2006;;25;56;82;7;27
1;Arora;2006;;30;45;93;7;27
1;Arora;2006;;40;32;106;3;31
1;Arora;2006;;46;23;115;0;34
17;Cordeiro;2011;;27;33;9;6;66
2;El Halawini;2003;;12;7;0;29;13
2;El Halawini;2003;;18;6;1;19;23
2;El Halawini;2003;;22;5;2;17;25
2;El Halawini;2003;;47;2;5;6;36
18;Florentin;2014;;10.5;13;6;70;89
19;Fortuna;2007;;20;17;5;10;18
20;Fukuhara;2011;;40;33;9;2;17
21;Giovannini;2014;;30;3;18;0;21
3;Heffler;2006;;10;18;0;29;1
3;Heffler;2006;;15;18;0;26;4
3;Heffler;2006;;20;18;0;20;10
3;Heffler;2006;;25;18;0;16;14
3;Heffler;2006;;30;14;4;15;15
3;Heffler;2006;;34;14;4;14;16
3;Heffler;2006;;36;14;4;12;18
3;Heffler;2006;;40;11;7;11;19
3;Heffler;2006;;45;11;7;8;22
3;Heffler;2006;;50;10;8;7;23
3;Heffler;2006;;55;9;9;6;24
3;Heffler;2006;;60;9;9;4;26
3;Heffler;2006;;65;8;10;4;26
3;Heffler;2006;;75;8;10;3;27
3;Heffler;2006;;80;7;11;1;29
3;Heffler;2006;;85;5;13;1;29
3;Heffler;2006;;100;5;13;0;30
4;Katsoulis;2013;;10;39;9;39;25
4;Katsoulis;2013;;15;35;13;33;31
4;Katsoulis;2013;;20;31;17;26;38
4;Katsoulis;2013;;25;24;24;16;48
4;Katsoulis;2013;;30;24;24;12;52
4;Katsoulis;2013;;32;23;25;10;54
5;Kostikas;2008;;10;54;9;56;30
5;Kostikas;2008;;15;43;20;29;57
5;Kostikas;2008;;19;33;30;13;73
5;Kostikas;2008;;20;31;32;13;73
5;Kostikas;2008;;25;19;44;7;79
5;Kostikas;2008;;30;16;47;4;82
16;Kowal;2009;;10;178;0;362;0
16;Kowal;2009;;20;172;6;222;140
16;Kowal;2009;;30;162;16;107;255
16;Kowal;2009;;40;156;22;59;303
16;Kowal;2009;;50;127;51;34;328
16;Kowal;2009;;60;115;63;18;344
16;Kowal;2009;;70;110;68;10;352
16;Kowal;2009;;80;102;76;8;354
16;Kowal;2009;;90;84;94;3;359
16;Kowal;2009;;100;71;107;0;362
6;Linkosalo;2012;;10;16;2;8;4
6;Linkosalo;2012;;20;13;5;2;10
6;Linkosalo;2012;;30;9;9;1;11
6;Linkosalo;2012;;40;7;11;1;11
6;Linkosalo;2012;;50;2;16;1;11
9;Malinovschi;2012;current smoker;10;25;7;42;38
9;Malinovschi;2012;current smoker;15;18;14;22;58
9;Malinovschi;2012;current smoker;17;18;14;14;66
9;Malinovschi;2012;current smoker;20;14;18;10;70
9;Malinovschi;2012;current smoker;25;8;24;6;74
9;Malinovschi;2012;current smoker;30;6;26;5;75
9;Malinovschi;2012;current smoker;35;5;27;3;77
9;Malinovschi;2012;current smoker;50;3;29;2;78
8;Malinovschi;2012;ex-smoker;10;18;1;36;7
8;Malinovschi;2012;ex-smoker;15;15;4;23;20
8;Malinovschi;2012;ex-smoker;20;13;6;11;32
8;Malinovschi;2012;ex-smoker;22;12;7;6;37
8;Malinovschi;2012;ex-smoker;25;8;11;4;39
8;Malinovschi;2012;ex-smoker;30;8;11;2;41
8;Malinovschi;2012;ex-smoker;35;7;12;1;42
8;Malinovschi;2012;ex-smoker;50;3;16;1;42
7;Malinovschi;2012;never smoker;10;41;4;46;17
7;Malinovschi;2012;never smoker;15;35;10;23;40
7;Malinovschi;2012;never smoker;20;23;22;11;52
7;Malinovschi;2012;never smoker;25;18;27;7;56
7;Malinovschi;2012;never smoker;30;16;29;6;57
7;Malinovschi;2012;never smoker;35;12;33;4;59
7;Malinovschi;2012;never smoker;50;9;36;3;60
22;Pedrosa;2010;;40;26;9;22;57
23;Pizzimenti;2009;;55;11;3;17;125
10;Sato;2008;;14;47;1;17;6
10;Sato;2008;;18.5;46;2;12;11
10;Sato;2008;;27.4;42;6;6;17
10;Sato;2008;;38.8;38;10;2;21
10;Sato;2008;;50.6;33;15;0;23
24;Schleich;2012;;34;29;53;4;88
15;Schneider;2009;;12;64;11;65;20
15;Schneider;2009;;16;52;23;40;45
15;Schneider;2009;;20;48;27;36;49
15;Schneider;2009;;35;24;51;14;71
15;Schneider;2009;;46;24;51;6;79
15;Schneider;2009;;76;10;65;0;85
11;Schneider;2013;;9;148;6;208;31
11;Schneider;2013;;12;131;23;170;69
11;Schneider;2013;;16;108;46;127;112
11;Schneider;2013;;20;92;62;88;151
11;Schneider;2013;;25;75;79;60;179
11;Schneider;2013;;35;51;103;29;210
11;Schneider;2013;;41;42;112;19;220
11;Schneider;2013;;42;40;114;19;220
11;Schneider;2013;;43;39;116;19;220
11;Schneider;2013;;44;39;116;19;220
11;Schneider;2013;;45;39;116;19;220
11;Schneider;2013;;46;35;119;19;220
11;Schneider;2013;;71;28;126;7;232
12;Sivan;2009;;15;62;7;13;31
12;Sivan;2009;;19;59;10;5;39
12;Sivan;2009;;25;52;17;5;39
13;Smith;2004;;15;15;2;11;19
13;Smith;2004;;20;15;2;6;24
13;Smith;2004;;25;12;5;5;25
13;Smith;2004;;30;12;5;4;26
25;Smith;2005;;15;22;5;13;12
25;Smith;2005;;47;15;12;2;23
26;Voutilainen;2013;;30;13;17;6;51
27;Wang;2015;bronchodilatation;41;134;51;83;247
28;Wang;2015;bronchoprovocation;64;65;60;16;327
14;Woo;2012;;5;157;10;67;11
14;Woo;2012;;10;134;33;43;35
14;Woo;2012;;15;120;47;26;52
14;Woo;2012;;20;101;66;15;63
14;Woo;2012;;21;95;72;10;68
14;Woo;2012;;22;90;77;10;68
14;Woo;2012;;23;86;81;7;71
14;Woo;2012;;24;84;83;7;71
14;Woo;2012;;25;83;84;6;72
14;Woo;2012;;30;71;96;4;74
14;Woo;2012;;35;54;113;1;77
14;Woo;2012;;40;41;126;1;77
14;Woo;2012;;41;39;128;0;78
14;Woo;2012;;45;29;138;0;78
14;Woo;2012;;50;24;143;0;78
29;Zhang;2011;;40;29;10;9;58
